New PAW TMT results file!
Program "PAW_protein_grouper.py" run on Mon Feb 13 18:36:31 2023
 
 
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_BGS	Total_FLI	Unique_BGS	Unique_FLI	Corrected_BGS	Corrected_FLI	PSMs_Used_BGS	TotInt_126C_BGS	TotInt_127N_BGS	TotInt_127C_BGS	TotInt_128N_BGS	TotInt_128C_BGS	TotInt_129N_BGS	TotInt_129C_BGS	TotInt_130N_BGS	TotInt_130C_BGS	TotInt_131N_BGS	TotInt_131C_BGS	PSMs_Used_FLI	TotInt_126C_FLI	TotInt_127N_FLI	TotInt_127C_FLI	TotInt_128N_FLI	TotInt_128C_FLI	TotInt_129N_FLI	TotInt_129C_FLI	TotInt_130N_FLI	TotInt_130C_FLI	TotInt_131N_FLI	TotInt_131C_FLI
25	1	CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN	 	 	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_049|gi|88052|pir||A32568, CONT_064|gi|254622|bbs|112352, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_088|gi|1346343|sp|P04264|K2C1_HUMAN, CONT_089|gi|71536|pir||KRHU2, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_143|gi|88054|pir||A22940, CONT_154|gi|1181996, sp|P03995|GFAP_MOUSE, sp|P04104|K2C1_MOUSE, sp|P11679|K2C8_MOUSE, sp|P19246|NFH_MOUSE, sp|P20152|VIME_MOUSE, sp|P97861|KRT86_MOUSE, sp|Q3TTY5|K22E_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q6IFZ6|K2C1B_MOUSE, sp|Q6IFZ9|K2C74_MOUSE, sp|Q6IME9|K2C72_MOUSE, sp|Q6NXH9|K2C73_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9Z2T6|KRT85_MOUSE, tr|A0A2R8VHP3|A0A2R8VHP3_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE	contaminant	12.9	564	60066	KERATIN, TYPE II CYTOSKELETAL 6F (CYTOKERATIN 6F) (CK 6F) (K6F KERATIN) [Homo sapiens].	31	0	0.000	17	14	0	0	0.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27	1	CONT_146|gi|2119208|pir||I37459	 	 	CONT_046|gi|88041|pir||A31994, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_123|gi|125091|sp|P25690|K1M2_SHEEP, CONT_146|gi|2119208|pir||I37459, CONT_156|gi|1363944|pir||JC4313, sp|B1AQ75|KRT36_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61765|K1H1_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q61897|KT33B_MOUSE, sp|Q8K0Y2|KT33A_MOUSE, sp|Q9D646|KRT34_MOUSE	contaminant	10.5	362	41704	hair keratin acidic 3-II (fragment) [Homo sapiens].	6	0	0.000	5	1	0	0	0.333	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
28	1	CONT_154|gi|1181996 (+3)	CONT_154|gi|1181996&CONT_172|gi|1903216|gnl|PID|e255375&CONT_174|gi|1903220|gnl|PID|e255346&CONT_178|gi|2190400|gnl|PID|e321549	 	CONT_025|gi|346581|pir||S29094, CONT_041|gi|109048|pir||S22025, CONT_049|gi|88052|pir||A32568, CONT_070|gi|547752|sp|Q01546|K22O_HUMAN, CONT_073|gi|87303|pir||JS0487, CONT_079|gi|125105|sp|P13647|K2C5_HUMAN, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_154|gi|1181996, sp|P03995|GFAP_MOUSE, sp|P11679|K2C8_MOUSE, sp|P20152|VIME_MOUSE, sp|P97861|KRT86_MOUSE, sp|Q3UV17|K22O_MOUSE, sp|Q922U2|K2C5_MOUSE, sp|Q9Z2T6|KRT85_MOUSE, tr|E9Q0F0|E9Q0F0_MOUSE, tr|E9Q1Z0|E9Q1Z0_MOUSE	contaminant	19.1	425	47034	(X81420) hair type II basic keratin [Homo sapiens].	20	0	0.000	11	9	0	0	0.000	0.000	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
29	1	CONT_156|gi|1363944|pir||JC4313	 	 	CONT_046|gi|88041|pir||A31994, CONT_050|gi|280816|pir||A37343, CONT_068|gi|1082558|pir||S41161, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_082|gi|125080|sp|P02533|K1CN_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_121|gi|547749|sp|P13645|K1CJ_HUMAN, CONT_146|gi|2119208|pir||I37459, CONT_156|gi|1363944|pir||JC4313, sp|B1AQ75|KRT36_MOUSE, sp|P05784|K1C18_MOUSE, sp|P08730|K1C13_MOUSE, sp|Q61414|K1C15_MOUSE, sp|Q61765|K1H1_MOUSE, sp|Q61781|K1C14_MOUSE, sp|Q61897|KT33B_MOUSE, sp|Q8CCX5|KT222_MOUSE, sp|Q9D312|K1C20_MOUSE	contaminant	24.9	473	51237	type I keratin 16 [human, epidermal keratinocytes, Peptide, 473 aa].	19	3	0.158	10	9	2	1	4.037	3.042	2	10277.886719	7201.918701999999	9331.064452999999	14754.291504	15702.080566	12260.030762	14032.89209	11277.282715	23335.980469000002	19754.06543	150.0	1	11356.6875	4272.678711	7001.868164	19352.519531	17728.681641	6979.973145	12090.004883	7863.945312000001	22896.175781	20490.425781	150.0
30	1	EXTRA_0001	 	 	EXTRA_0001, sp|P07724|ALBU_MOUSE	 	83.6	584	66356	[P02768ups|ALBU_HUMAN_UPS] Serum albumin (Chain 26-609) - Homo sapiens (Human)	246	221	0.898	115	131	103	118	106.236	121.535	103	14546511.705200996	8393553.433348	51856783.766603	15696981.691655993	12059286.445315	8058431.170164999	10265722.418335	7216175.385377002	55516690.655027	6895520.592283002	2005382.0881360003	118	39398638.92468099	23039276.168401986	138303578.395508	41724435.11743498	32389245.432741992	21690854.814152002	27862141.867435995	19364357.297118995	146335903.54736498	18664704.801271994	4044511.5146459984
31	1	EXTRA_0002 (+1)	EXTRA_0002&sp|P29595|NEDD8_MOUSE	 	 	 	28.4	81	9071	[Q15843ups|NEDD8_HUMAN_UPS] NEDD8 (Chain 1-81) - Homo sapiens (Human)	42	42	1.000	27	15	27	15	27.000	15.000	27	1994329.171875	1795134.4296880001	2184516.9384760004	2314087.202148	2136579.4472690006	2096997.786622	2110612.656253	2178778.265624	2162318.111328	2008382.6347650003	50343.429199	15	5716574.179566	5270585.336060001	6557902.02649	6381220.475219999	6244286.884767	5843584.378663	6252389.842039	5762799.626158999	6438104.863771999	5198485.5039059995	16887.778564
32	1	EXTRA_0003 (+1)	EXTRA_0003&sp|Q61411|RASH_MOUSE	 	EXTRA_0003, sp|P08556|RASN_MOUSE, sp|P32883|RASK_MOUSE	 	56.6	189	21298	[P01112ups|RASH_HUMAN_UPS] GTPase HRas (Chain 1-189) - Homo sapiens (Human)	43	9	0.209	18	25	5	4	11.736	11.995	5	1015854.164063	1041629.085938	1229813.7578130001	1315085.203125	1178077.6171880001	1153501.0625	1193007.1640619999	1213477.53125	1227716.0234380001	1190501.1796880001	59478.334229	4	1468119.2265630001	1406435.03125	1694748.4375	1840099.5859380001	1785342.265625	1440196.734375	1705568.0312510002	1748785.84375	1739904.5781260002	1686378.171875	51931.636963
33	1	EXTRA_0004	 	 	EXTRA_0004, sp|P24270|CATA_MOUSE	 	36.3	526	59624	[P04040ups|CATA_HUMAN_UPS] Catalase (Chain 2-527) - Homo sapiens (Human)	52	31	0.596	26	26	17	14	20.643	17.500	17	934197.030763	690640.5852050001	1910304.608398	1070440.4409190002	976903.3691409999	801526.623534	772804.5036609999	723060.4648440001	2077106.3261719998	694821.2897939999	68399.957886	14	1315621.6855459998	919811.052248	2204985.009278	1437711.9184560003	1257493.157227	1182823.3394789998	1072750.4304199999	1070603.242432	2348929.3308100007	1122217.605957	57426.680664
34	1	EXTRA_0008	 	 	EXTRA_0008, sp|Q64669|NQO1_MOUSE	 	12.8	273	30736	[P15559ups|NQO1_HUMAN_UPS] NAD(P)H dehydrogenase [quinone] 1 (Chain 2-274) - Homo sapiens (Human)	6	2	0.333	3	3	1	1	1.125	1.143	1	24492.373047	12197.173828	71163.257812	23523.490234	20089.126953	11012.948242	14304.884766	10406.259766	73253.617188	10306.458008	1706.106934	1	35759.265625	15486.363281	144188.1875	39609.519531	35413.242188	18085.431641	23242.832031	15739.936522999998	154386.953125	26442.398438	150.0
35	1	EXTRA_0009	 	 	EXTRA_0009, sp|O08807|PRDX4_MOUSE, sp|P35700|PRDX1_MOUSE, sp|Q61171|PRDX2_MOUSE	 	44.9	198	21979	[Q06830ups|PRDX1_HUMAN_UPS] Peroxiredoxin 1 (Chain 2-199) - Homo sapiens (Human)	83	4	0.048	45	38	2	2	5.279	5.017	2	328080.640625	205971.90625	988748.1875	377933.71875	298150.96875	209892.140625	253179.9375	208998.695313	1116544.5625	211868.8125	38998.435547	2	1167552.46875	736100.953125	3927001.75	1292498.34375	1048060.625	764815.078125	991186.71875	725799.6875	4143828.125	665703.890625	165697.867187
36	1	EXTRA_0010	 	 	EXTRA_0010, sp|P56395|CYB5_MOUSE	 	40.7	140	16153	[P00167ups|CYB5_HUMAN_UPS] Cytochrome b5 (Chain 1-134, N-terminal His tag) - Homo sapiens (Human)	18	2	0.111	8	10	1	1	2.400	5.500	1	124624.21875	62869.390625	256167.625	110925.58593800002	96287.0	76050.40625	95020.015625	64184.898438	298436.21875	68921.226562	9330.158203	1	309365.0	225374.046875	819837.625	346782.21875	283485.0625	254929.171875	260099.84375	206477.828125	878322.0	217108.171875	37213.539062
37	1	EXTRA_0017	 	 	 	 	29.4	153	17052	[P02144ups|MYG_HUMAN_UPS] Myoglobin (Chain 2-154) - Homo sapiens (Human)	7	7	1.000	3	4	3	4	3.000	4.000	3	467004.495117	310074.25879	1572599.0703130001	529821.7148440001	392703.85742200003	283648.389648	349166.816406	261997.44336	1832035.28125	260024.31152400002	78498.337159	4	1926411.8530279999	1448117.5881349999	3410991.654785	2184032.022949	1829600.7431639999	1231068.794677	1583597.242187	1229757.406311	3551746.860352	1464611.806274	117720.636719
38	1	EXTRA_0021	 	 	EXTRA_0021, sp|P01942|HBA_MOUSE	 	39.7	141	15126	[P69905ups|HBA_HUMAN_UPS] Hemoglobin subunit alpha (Chain 2-142) - Homo sapiens (Human)	187	16	0.086	57	130	6	10	8.807	19.160	6	744220.394531	470435.40429800004	2777469.015625	810706.636719	629228.2070330001	431792.91992200003	545091.593751	418024.49414100003	3140204.5625	352395.558595	91744.875001	10	2141218.945679	1185566.325318	7895098.277831	2440307.160644	1714385.3734129998	1163277.922852	1655048.0368660002	995405.8494870001	8692952.788940001	985217.533448	180702.066407
39	1	EXTRA_0023	 	 	 	 	61.9	260	28739	[P00915ups|CAH1_HUMAN_UPS] Carbonic anhydrase 1 (Chain 2-261) - Homo sapiens (Human)	59	59	1.000	31	28	31	28	31.000	28.000	31	4341407.169434001	2521860.813478	15463187.873047002	4678189.917969	3583746.6064470005	2453888.9306630003	3082574.2729510004	2302722.715823	17603777.623049	2247036.0751950005	623123.787475	28	8522803.399411999	5194057.2165520005	27179738.167967997	8328988.161132	6812977.583982999	4808096.073241999	6026264.341311	4371131.409425	30093932.050782003	4159587.283202	991857.091795
40	1	EXTRA_0025	 	 	EXTRA_0025, sp|P00920|CAH2_MOUSE	 	66.8	259	29114	[P00918ups|CAH2_HUMAN_UPS] Carbonic anhydrase 2 (Chain 2-260) - Homo sapiens (Human)	124	103	0.831	58	66	50	53	53.306	57.687	50	6880486.403930001	3905281.9843760007	23744116.864500005	6963954.532469002	5415711.140140001	3517556.987792999	4527112.834229001	3328838.554686999	25817781.332032993	3238431.316165	1020552.1513660001	53	18221273.410155	9727759.789918002	60172690.982420996	19951898.5376	15124441.88672	10432478.098632999	12715339.635254998	9386347.847166998	65361169.710939005	9024221.775388999	1732440.8585210002
42	1	EXTRA_0030	 	 	 	 	50.3	147	16157	[P41159ups|LEP_HUMAN_UPS] Leptin (Chain 22-167) - Homo sapiens (Human)	32	32	1.000	12	20	12	20	12.000	20.000	12	2035440.285157	999013.159668	7167075.755859	2105043.358401	1689654.672364	1040272.8613280001	1476982.635741	792732.112305	7958778.041014999	1003798.3090830001	244776.810302	20	6487537.710936	3769174.7519540004	21570629.269532997	6497037.766602	5131878.520021	3187611.124024	4826896.155273	3065070.4692389998	24229281.988282997	3060438.3618170004	830522.5517589999
43	1	EXTRA_0033	 	 	 	 	78.4	74	8274	[P01031ups|CO5_HUMAN_UPS] Complement C5 (C5a anaphylatoxin) (Chain 678-751) - Homo sapiens (Human)	37	37	1.000	12	25	12	25	12.000	25.000	12	1984982.015504	1119029.6594250002	6661700.853516	1958389.6074220003	1466969.2911369998	968195.0296010001	1299413.5527350002	947059.261719	7016031.1738289995	831458.221801	188795.738037	25	6189454.963013998	3733383.366885	21089537.322267007	6667471.188719999	4977370.91321	3406112.2334010005	4180796.3062770003	3062708.5379660004	21024312.291504998	2220926.55359	532188.799499
